Fday	ID	Rday	Wdays	MDUR	Tdays
5	17	3	0	1	2
7	6	3	0	1	4
8	1	1	0	4	7
9	7	3	0	4	6
10	25	6	0	3	4
13	3	2	0	3	11
14	10	3	0	7	11
16	27	6	0	4	10
16	20	3	0	8	13
16	13	3	0	12	13
17	46	7	1	1	9
17	34	6	0	7	11
17	11	3	0	13	14
18	4	3	0	14	15
19	21	3	0	13	16
20	38	6	0	7	14
20	14	3	0	9	17
21	42	6	0	11	15
21	2	1	0	15	20
22	15	3	0	14	19
22	5	3	0	17	19
23	22	4	0	15	19
24	8	3	0	18	21
25	48	7	1	15	17
26	12	3	0	15	23
28	19	3	0	18	25
30	59	7	13	8	10
30	18	3	0	19	27
31	58	7	13	7	11
31	56	7	8	11	16
31	53	7	5	17	19
31	32	6	0	18	25
35	55	7	5	18	23
37	94	10	15	10	12
40	96	10	17	9	13
41	112	11	17	12	13
42	121	12	16	9	14
42	132	16	12	10	14
43	64	7	13	20	23
45	131	16	12	11	17
47	133	17	19	10	11
47	101	10	18	15	19
47	70	8	12	20	27
49	170	19	17	10	13
49	148	18	18	11	13
49	116	12	16	15	21
50	175	19	20	10	11
50	100	10	18	14	22
50	113	11	17	17	22
50	110	11	17	17	22
52	76	8	17	19	27
53	192	21	18	9	14
53	149	18	18	15	17
56	176	19	20	13	17
58	219	22	19	13	17
58	181	20	19	14	19
59	163	18	18	15	23
60	200	21	20	13	19
60	195	21	18	19	21
62	185	21	18	15	23
62	139	18	18	19	26
66	228	23	24	17	19
66	201	21	20	20	25
72	262	29	26	13	17
72	263	29	26	15	17
74	232	25	30	18	19
74	230	24	23	19	27
75	268	30	25	14	20
76	352	37	24	13	15
76	265	30	25	20	21
78	242	26	29	20	23
79	320	34	27	14	18
79	345	35	26	15	18
81	368	42	21	14	18
81	276	33	28	15	20
81	326	34	27	17	20
82	367	42	19	17	21
82	362	39	22	17	21
82	297	33	28	20	21
83	361	39	22	16	22
84	306	33	28	20	23
85	406	52	18	9	15
86	401	49	21	15	16
86	291	33	28	17	25
87	313	34	27	18	26
91	419	53	19	17	19
92	375	46	24	15	22
92	383	47	23	17	22
95	411	52	20	16	23
95	380	47	23	19	25
96	397	48	22	19	26
97	412	52	20	20	25
98	417	53	19	20	26
102	463	56	27	18	19
102	438	55	28	18	19
103	456	55	28	15	20
105	431	55	28	17	22
105	452	55	28	20	22
106	465	56	28	15	22
106	468	56	28	16	22
106	433	55	28	19	23
107	558	58	30	16	19
110	441	55	28	19	27
111	562	58	32	19	21
111	482	57	31	19	23
112	551	58	30	16	24
112	538	58	30	16	24
112	496	57	31	18	24
114	560	58	32	16	24
115	557	58	30	19	27
115	488	57	31	19	27
118	570	58	37	20	23
120	596	60	36	19	24
121	635	67	35	18	19
121	576	58	38	20	25
123	700	70	34	17	19
123	584	58	38	19	27
124	599	60	38	20	26
125	691	70	34	17	21
125	644	67	35	19	23
128	719	72	33	17	23
129	624	66	36	19	27
130	774	73	32	20	25
131	78	10	114	2	7
131	750	72	33	18	26
133	776	73	32	20	28
134	35	6	118	4	10
134	33	6	118	6	10
134	791	73	35	18	26
134	836	76	37	19	21
134	813	74	37	19	23
135	68	8	116	3	11
137	823	76	35	18	26
138	88	10	114	9	14
138	65	7	112	14	19
138	31	6	113	18	19
138	829	76	35	19	27
140	130	16	116	3	8
140	117	12	115	5	13
141	143	18	114	1	9
141	89	10	114	13	17
141	30	6	113	19	22
143	888	83	36	20	24
144	887	83	36	18	25
146	154	18	122	2	6
146	29	6	113	20	27
148	137	18	114	12	16
150	95	10	117	19	23
151	157	18	123	5	10
152	91	10	117	20	25
155	40	6	126	18	23
158	50	7	145	2	6
160	196	21	136	1	3
163	177	19	132	5	12
163	184	20	131	8	12
164	41	6	141	12	17
165	57	7	149	7	9
166	158	18	129	11	19
170	226	22	145	2	3
170	206	21	142	4	7
171	208	21	142	4	8
171	194	21	136	13	14
172	191	21	134	9	17
173	62	7	156	2	10
173	217	22	142	7	9
174	235	26	141	5	7
174	173	19	128	19	27
175	49	7	144	16	24
177	244	26	141	2	10
178	71	8	162	4	8
180	51	7	149	16	24
181	60	7	149	18	25
183	66	8	155	14	20
183	215	22	142	15	19
184	256	28	142	10	14
185	207	21	142	15	22
185	203	21	140	16	24
185	205	21	140	18	24
186	61	7	156	15	23
187	69	8	162	13	17
187	259	29	141	15	17
190	278	33	150	4	7
192	246	26	144	14	22
193	277	33	150	6	10
193	294	33	151	8	9
194	75	8	175	5	11
197	266	30	145	14	22
200	102	10	185	4	5
201	293	33	151	9	17
203	270	31	152	17	20
204	295	33	156	8	15
205	347	36	159	4	10
205	315	34	160	8	11
205	80	10	179	10	16
205	74	8	175	17	22
205	274	32	151	18	22
206	314	34	160	4	12
206	85	10	185	5	11
206	307	33	159	11	14
207	337	35	160	4	12
207	82	10	184	7	13
207	79	10	174	15	23
208	93	10	185	7	13
209	365	41	160	4	8
209	336	35	159	12	15
211	81	10	179	19	22
213	299	33	159	14	21
214	296	33	156	20	25
215	387	47	163	2	5
215	350	36	159	15	20
216	305	33	159	16	24
216	300	33	159	16	24
219	377	47	160	9	12
221	97	10	185	18	26
223	379	47	160	8	16
223	372	44	162	10	17
225	111	11	200	6	14
226	370	43	163	17	20
227	109	11	200	14	16
228	385	47	163	13	18
232	114	11	205	13	16
233	141	18	212	2	3
233	388	47	169	10	17
234	125	13	207	10	14
235	424	54	167	7	14
236	399	49	171	15	16
237	136	18	207	11	12
237	120	12	208	16	17
238	430	55	170	8	13
238	435	55	170	11	13
239	440	55	170	11	14
239	392	47	173	14	19
241	115	11	205	19	25
242	474	57	174	3	11
242	457	55	175	8	12
243	485	57	177	7	9
244	126	14	211	13	19
244	422	54	166	16	24
244	129	15	210	17	19
245	481	57	174	13	14
245	408	52	168	19	25
246	454	55	170	13	21
248	144	18	216	7	14
248	407	52	168	20	28
249	147	18	218	9	13
250	462	56	174	12	20
250	142	18	213	16	19
251	152	18	221	8	12
251	450	55	170	19	26
253	484	57	175	19	21
253	472	57	173	19	23
254	455	55	175	18	24
262	487	57	182	17	23
263	515	57	200	1	6
263	529	57	202	2	4
263	520	57	200	5	6
264	571	58	201	3	5
264	162	18	230	8	16
264	499	57	191	15	16
265	530	57	202	1	6
266	511	57	195	8	14
267	188	21	240	4	6
267	535	58	201	4	8
267	160	18	230	13	19
268	501	57	191	12	20
268	166	19	233	13	16
269	563	58	201	8	10
270	516	57	200	5	13
270	178	19	238	12	13
271	169	19	238	6	14
271	164	18	234	16	19
272	586	58	211	2	3
272	187	21	240	7	11
272	536	58	201	11	13
272	509	57	195	15	20
276	197	21	253	1	2
276	575	58	203	9	15
276	526	57	200	13	19
279	572	58	203	14	18
279	182	20	239	19	20
280	523	57	200	17	23
282	577	58	203	14	21
283	592	58	220	2	5
285	574	58	203	16	24
285	186	21	240	18	24
288	202	21	254	5	13
289	582	58	211	18	20
290	590	58	220	9	12
290	198	21	254	12	15
291	204	21	254	15	16
292	613	64	223	1	5
295	628	66	221	3	8
296	627	66	221	4	9
296	606	63	218	7	15
297	587	58	219	12	20
298	593	58	223	13	17
299	605	63	218	10	18
300	648	67	220	8	13
304	654	68	222	10	14
305	646	67	220	16	18
306	233	26	277	1	3
306	231	25	276	1	5
306	209	21	266	16	19
307	218	22	268	10	17
307	214	22	265	16	20
308	682	69	234	1	5
308	225	22	274	11	12
308	660	68	222	14	18
313	686	70	233	6	10
313	647	67	220	18	26
314	671	69	232	5	13
314	668	69	227	13	18
314	220	22	274	13	18
315	685	70	233	5	12
316	690	70	242	1	4
316	240	26	277	12	13
319	694	70	243	5	6
321	687	70	238	8	13
324	677	69	234	13	21
325	258	29	293	2	3
325	238	26	277	20	22
325	669	69	232	20	24
326	698	70	247	1	9
326	710	70	251	2	5
326	243	26	280	16	20
327	250	26	286	7	15
328	673	69	234	17	25
329	697	70	245	11	14
330	695	70	245	14	15
331	701	70	247	10	14
333	716	71	251	7	11
333	257	29	290	12	14
335	711	71	250	12	14
336	723	72	258	4	6
336	706	70	251	10	15
339	741	72	258	8	9
339	271	31	291	16	17
340	730	72	258	8	10
340	269	31	291	16	18
341	739	72	258	7	11
342	722	72	258	9	12
342	282	33	297	9	12
342	261	29	293	18	20
343	754	72	265	2	6
343	272	31	291	20	21
345	745	72	265	5	8
346	764	73	265	7	8
347	762	72	265	8	10
349	709	70	251	20	28
351	302	33	312	2	6
351	742	72	259	12	20
351	275	33	297	17	21
352	289	33	308	6	11
353	768	73	272	6	8
353	286	33	304	10	16
353	288	33	305	11	15
353	761	72	265	12	16
353	749	72	265	13	16
354	758	72	265	15	17
356	746	72	265	12	19
356	285	33	298	18	25
358	301	33	312	11	13
358	287	33	304	13	21
361	751	72	265	19	24
362	765	73	272	9	17
363	769	73	272	15	18
365	309	34	324	1	7
366	298	33	312	17	21
367	767	73	272	14	22
368	834	76	288	1	4
371	779	73	285	6	13
372	789	73	285	9	14
372	782	73	285	9	14
373	801	73	291	2	9
373	819	76	288	4	9
373	308	33	325	9	15
375	847	76	291	4	8
375	797	73	291	5	11
376	312	34	330	4	12
376	804	73	291	8	12
377	324	34	333	6	10
378	840	76	291	6	11
379	332	35	336	4	8
379	328	34	333	4	12
379	321	34	333	9	12
379	815	74	290	9	15
379	777	73	285	13	21
379	771	73	285	16	21
381	848	76	295	7	10
382	849	76	300	2	6
382	820	76	288	13	18
383	786	73	285	17	25
384	331	35	336	5	13
384	843	76	291	10	17
384	330	34	333	10	17
385	844	76	291	13	18
385	838	76	288	16	21
386	327	34	333	15	19
393	856	78	307	6	8
397	886	82	310	2	5
397	339	35	350	11	12
399	341	35	357	3	7
402	342	35	357	7	10
402	859	79	309	7	14
404	858	79	306	12	19
405	879	82	310	7	13
406	340	35	357	6	14
406	343	35	357	10	14
406	850	76	309	17	21
407	872	80	312	8	15
409	877	81	311	9	17
410	355	39	360	6	11
410	346	35	357	10	18
410	863	79	313	15	18
411	354	37	356	15	18
411	334	35	350	20	26
412	855	78	307	19	27
413	860	79	313	14	21
414	344	35	357	18	22
416	881	82	310	20	24
419	351	36	356	20	27
430	363	40	381	1	9
432	358	39	379	9	14
435	378	47	383	4	5
439	395	48	388	1	3
442	389	47	389	2	6
444	373	45	385	12	14
449	366	41	380	20	28
450	384	47	383	16	20
454	400	49	399	2	6
456	394	48	388	14	20
459	386	47	389	15	23
461	396	48	399	6	14
466	409	52	406	5	8
467	414	52	406	4	9
474	404	50	408	10	16
475	402	49	409	9	17
480	423	54	413	8	13
480	403	50	408	19	22
482	429	55	415	8	12
483	427	54	414	12	15
485	416	52	411	14	22
487	425	54	414	13	19
488	442	55	429	2	4
492	439	55	429	7	8
495	437	55	429	7	11
499	447	55	439	1	5
499	432	55	429	9	15
500	470	57	437	4	6
507	475	57	443	2	7
507	453	55	439	12	13
508	434	55	429	19	24
513	448	55	439	15	19
515	467	56	438	18	21
518	459	55	439	19	24
520	469	57	437	20	26
522	478	57	457	3	8
522	477	57	457	4	8
528	483	57	462	7	9
530	480	57	462	8	11
531	476	57	457	13	17
536	486	57	462	10	17
541	497	57	479	4	5
541	493	57	470	10	14
542	479	57	457	20	28
543	490	57	467	15	19
546	504	57	479	7	10
549	492	57	470	16	22
556	500	57	479	12	20
562	510	57	494	7	11
562	494	57	479	18	26
564	512	57	494	10	13
574	513	57	503	10	14
574	507	57	494	15	23
582	531	57	508	13	17
583	521	57	508	12	18
583	525	57	508	15	18
585	518	57	503	17	25
590	534	58	522	4	10
593	537	58	522	11	13
594	541	58	534	1	2
596	533	58	522	13	16
596	532	58	513	19	25
598	540	58	525	8	15
599	549	58	536	1	5
606	553	58	536	6	12
609	552	58	536	10	15
614	555	58	545	4	11
617	554	58	545	10	14
618	544	58	536	18	24
620	566	58	548	9	14
623	564	58	548	14	17
624	581	58	557	4	9
625	578	58	548	15	19
628	561	58	545	17	25
630	598	60	565	4	5
631	580	58	554	17	19
642	600	60	565	13	17
645	583	58	567	14	20
646	616	64	573	7	9
646	601	61	566	16	19
648	617	64	573	8	11
649	609	63	574	7	12
649	608	63	567	11	19
651	607	63	564	20	24
654	618	64	583	1	7
655	611	64	573	15	18
656	621	65	587	3	4
658	612	64	573	15	21
666	623	65	591	9	10
671	620	65	585	16	21
673	638	67	592	8	14
677	643	67	598	8	12
678	631	67	591	16	20
678	626	66	592	19	20
679	640	67	598	10	14
679	632	67	592	16	20
682	636	67	592	19	23
691	639	67	598	18	26
693	651	67	610	13	16
699	667	69	627	1	3
704	655	68	618	12	18
706	661	68	621	11	17
707	670	69	631	3	7
708	665	69	627	5	12
708	656	68	619	18	21
711	652	68	616	20	27
713	666	69	627	12	17
716	674	69	640	3	7
716	664	69	623	16	24
725	680	69	650	4	6
726	681	69	650	1	7
727	704	70	655	1	2
730	678	69	650	3	11
733	705	70	655	2	8
739	692	70	655	13	14
740	696	70	655	11	15
741	707	70	658	6	13
741	683	69	652	18	20
744	712	71	657	15	16
747	684	70	655	18	22
749	724	72	672	2	5
756	718	72	672	6	12
757	720	72	672	7	13
760	736	72	680	2	8
763	721	72	672	11	19
765	735	72	680	9	13
768	731	72	680	13	16
771	729	72	680	13	19
775	740	72	681	17	22
778	733	72	680	18	26
780	747	72	692	14	16
780	738	72	681	20	27
783	753	72	700	6	11
783	752	72	700	6	11
786	760	72	706	4	8
788	766	73	708	3	7
790	744	72	691	19	27
792	748	72	700	15	20
799	759	72	706	16	21
802	778	73	715	12	14
803	785	73	726	3	4
804	783	73	726	1	5
804	770	73	714	9	17
807	772	73	715	11	19
810	784	73	726	6	11
816	788	73	732	3	11
816	787	73	732	7	11
821	780	73	726	19	22
826	795	73	741	5	12
834	790	73	735	20	26
835	803	73	752	6	10
836	807	73	752	6	11
840	793	73	740	19	27
843	805	73	752	15	18
845	806	73	752	17	20
854	811	74	760	16	20
855	809	74	760	15	21
856	818	75	759	14	22
862	821	76	765	17	21
863	831	76	773	7	14
865	824	76	773	9	16
865	825	76	773	14	16
866	832	76	773	15	17
872	827	76	773	20	23
875	864	79	786	3	10
875	854	77	782	9	16
877	866	80	788	4	9
881	869	80	796	1	5
882	839	76	782	17	24
883	862	79	783	17	21
889	867	80	789	13	20
891	865	80	787	16	24
900	878	81	809	7	10
902	884	82	808	5	12
906	875	81	804	15	21
907	871	80	805	14	22
908	876	81	809	15	18

-----------------------------------------------------------

-----------------------------------------------------------

Missions: 889	[N: 298, P: 301, D: 290] [598 DONE, 291 Aborted]
Rovers: 30	[N: 10, P: 10, D: 10]
Avg Wdays = 285.567, Avg MDUR = 11.408, Avg Tdays = 16.1271
% Avg_Wdays/ Avg_MDUR = 2503.21%, Auto-aborted= 62.8866%
